name, name_abr, price_value, market_cap, fully_distributed_market_cap, volume_24h, volume_slash_market_cap, circulating_supply 
"Deri Protocol","DERI","$0.06141","$2,925,401","$24,563,382","$246,402","0.08423","47,638,409.31 DERI"
"Playcent","PCNT","$0.1194","$2,930,785","$7,162,488","$1,887,948","0.6442","24,551,123.22 PCNT"
"Crown","CRW","$0.07201","$1,996,892","$3,024,575","$3,032","0.001518","27,729,339.59 CRW"
"CPChain","CPC","$0.005355","$2,017,657","$5,355,200","$111,854","0.05544","376,765,852.27 CPC"
"adbank","ADB","$0.002273","$1,978,550","$2,272,890","$219,039","0.1107","870,499,861.02 ADB"
"PLANET","PLA","$0.008884","$1,998,897","$44,419,923","$52,921","0.02648","225,000,000.00 PLA"
"PIXEL","PXL","$0.003625","$2,021,208","$3,579,669","$1,393","0.0006893","557,577,505.00 PXL"
"NFT Index","NFTI","$912.62","$2,035,305","- -","$8,605","0.004228","2,230.17 NFTI"
"QANplatform","QARK","$0.105","$2,001,028","$34,998,960","$3,436","0.001717","19,057,960.00 QARK"
"Pepemon Pepeballs","PPBLZ","$145.53","$2,037,478","$2,037,478","$311,456","0.1529","14,000.00 PPBLZ"
"SuperLauncher","LAUNCH","$0.5003","$2,041,800","$6,003,135","$33,980","0.01664","4,081,466.89 LAUNCH"
"Coldstack","CLS","$1.36","$2,046,081","$67,977,248","$233,758","0.1142","1,504,975.00 CLS"
"Chainge","CHNG","$0.03912","$2,049,754","$31,871,263","$388,647","0.1896","52,394,312.00 CHNG"
"ScPrime","SCP","$0.05581","$2,059,994","$2,432,990","$2,348","0.00114","36,912,463.85 SCP"
"ETHA Lend","ETHA","$0.2458","$2,080,181","$7,372,956","$194,403","0.09345","8,464,100.48 ETHA"
"Rune","RUNE","$108.48","$2,093,703","$2,444,108","$68,414","0.03268","19,299.93 RUNE"
"Zebi Token","ZEBI","$0.002709","$2,098,061","$2,200,416","$3,551","0.001692","774,404,671.98 ZEBI"
"Minereum","MNE","$0.1628","$2,101,439","$2,101,439","$32,094","0.01527","12,904,353.31 MNE"
"Tap","XTP","$0.0008053","$992,034","$8,052,809","$356,173","0.359","1.23B XTP"
"VegaWallet Token","VGW","$0.09264","$1,488,514","$18,527,681","- -","--","16,068,000.55 VGW"
"CannabisCoin","CANN","$0.01928","$1,489,005","$1,771,031","$0","--","77,231,175.53 CANN"
"Bitcashpay","BCP","$0.00753","$1,495,785","$6,400,127","$1,957,387","1.31","198,655,033.03 BCP"
"Tolar","TOL","$0.006856","$1,474,798","$5,212,312","$40,973","0.02778","215,107,791.35 TOL"
"PWR Coin","PWR","$0.0001566","$1,513,205","$1,558,748","- -","--","9.66B PWR"
"Fluity","FLTY","$0.05776","$1,517,665","$5,775,977","$278","0.0001831","26,275,467.26 FLTY"
"Global Cryptocurrency","GCC","$0.001205","$1,527,305","$2,891,977","$171","0.0001121","1.27B GCC"
"BeatzCoin","BTZC","$0.0006427","$1,533,251","$1,927,985","$36","0.00002323","2.39B BTZC"
"HodlTree","HTRE","$0.3364","$1,544,903","$33,641,934","- -","--","4,592,193.24 HTRE"
"Jarvis Network","JRT","$0.05348","$1,551,320","0.5834","$12,079,737","$2,659,247","$1,109,246"
